;"Unidentified detritus";"Plant material";"Terrestrial invertebrates";"Blue green algae";"Auodinella";"Rhoicosphenia curvata";"Navicula avenacea";"Unknown green algae";"Calothrix";"Cocconeis placentula";"Achnanthes lanceolata";"Gomphonema angustatum";"Navicula pusio";"Synedra ulna";"Aoteapsyche (N=1)";"Aspectrotanypus (N=2)";"Austroperla cyrene (N=10)";"Austrosimulium australense (N=1)";"Cricotopus I (N=5)";"Cricotopus II (N=1)";"Cristaperla fimbriae (N=7)";"Deleatidium (N=10)";"Molophilus (N=2)";"Eukiefidrella (N=2)";"Hydora nitida a (N=5)";"Hydora nitida l (N=15)";"Hydrobiosella stenocerca (N=1)";"Hydrobiosis silvicola (N=1)";"Isopoda (N=4(from fish gut)";"Lumbriculiid pink (N=10)";"Naonella forsythii (N=1)";"Nothodixa (N=6)";"Oligo I (N=10)";"Paracalliope fluviatalus (N=1)";"Paracalliope purple (N=10)";"Paralimnophila skuseii (N=1)";"Podonomous (N=1)";"Polypedellum  (N=6)";"Psilachorema bidens (N=2)";"Psychodid (N=1)";"Pycnocentria evecta (N=1)";"Scirtid brd (N=2)";"Spaniocerca zelandia (N=4)";"Stenoperla prasinia (N=3)";"Stictocladius sp. (N=15)";"Zelandobius (N=10)";"Zelandoperla (N=15)";"Crayfish (N=3)";"Galaxias (N=6)"
"Unidentified detritus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;0
"Plant material";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;0;1;1;0;0;1;1;0;1;0;1;1;1;0;1;0;0;1;0;1;1;1;1;1;1;0
"Terrestrial invertebrates";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"Blue green algae";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Auodinella";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rhoicosphenia curvata";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;0;1;0;1;1;1;0;0
"Navicula avenacea";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Unknown green algae";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"Calothrix";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cocconeis placentula";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Achnanthes lanceolata";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
